id_aerogenerateur;nom_eolienne;id_parc;code_insee;nom_commune;code_dept;code_reg;puissance;hauteur_totale;hauteur_mat_nacelle;diametre_rotor;cote_ngf;periode_allumage;type_feu;constructeur;reference_modele;x_aerogenerateur;y_aerogenerateur;epsg;libelle;date_maj
0010012383_E5;;0010012383;36248;VOUILLON;36;24;3.45;180.00;117.00;126.00;158.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;617464.0;6635061.0;2154;Lambert-93;2024-10-23
0010012383_E6;;0010012383;36248;VOUILLON;36;24;3.45;180.00;117.00;126.00;162.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;617423.0;6634817.0;2154;Lambert-93;2024-10-23
0005108063_E6;;0005108063;02189;CHIVRES-EN-LAONNOIS;02;32;3.30;180.00;117.00;126.00;99.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;762499.56;6948850.0;2154;Lambert-93;2024-10-23
0005108063_E7;;0005108063;02189;CHIVRES-EN-LAONNOIS;02;32;3.30;180.00;117.00;126.00;88.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;762264.75;6949209.5;2154;Lambert-93;2024-10-23
0005108063_E8;;0005108063;02189;CHIVRES-EN-LAONNOIS;02;32;3.30;180.00;117.00;126.00;74.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;761902.1;6949694.0;2154;Lambert-93;2024-10-23
0005108063_E9;;0005108063;02448;MACHECOURT;02;32;3.30;180.00;117.00;126.00;72.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;761564.3;6949949.0;2154;Lambert-93;2024-10-23
0005108063_E10;;0005108063;02133;BUCY-LES-PIERREPONT;02;32;3.30;180.00;117.00;126.00;113.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;764045.44;6948502.5;2154;Lambert-93;2024-10-23
0005108063_E11;;0005108063;02133;BUCY-LES-PIERREPONT;02;32;3.30;180.00;117.00;126.00;112.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;763836.94;6948810.5;2154;Lambert-93;2024-10-23
0005108063_E12;;0005108063;02133;BUCY-LES-PIERREPONT;02;32;3.30;180.00;117.00;126.00;100.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;763559.6;6949215.0;2154;Lambert-93;2024-10-23
0005108063_E13;;0005108063;02133;BUCY-LES-PIERREPONT;02;32;3.30;180.00;117.00;126.00;77.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;763324.94;6949537.0;2154;Lambert-93;2024-10-23
0003014614_E1;;0003014614;51473;SAINT-BON;51;44;3.60;150.00;91.00;117.00;191.000;Jour et Nuit;Feux à éclats;VESTAS;V117-3.6MW;736229.0;6842994.0;2154;Lambert-93;2023-07-21
0003014614_E2;;0003014614;51473;SAINT-BON;51;44;3.60;150.00;91.00;117.00;188.000;Jour et Nuit;Feux à éclats;VESTAS;V117-3.6MW;736229.0;6842633.0;2154;Lambert-93;2023-07-21
0003014614_E3;;0003014614;51473;SAINT-BON;51;44;3.60;150.00;91.00;117.00;193.000;Jour et Nuit;Feux à éclats;VESTAS;V117-3.6MW;736246.0;6842224.0;2154;Lambert-93;2023-07-21
0005108063_E14;;0005108063;02133;BUCY-LES-PIERREPONT;02;32;3.30;180.00;117.00;126.00;90.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;763058.5;6949926.5;2154;Lambert-93;2024-10-23
0005108063_E15;;0005108063;02448;MACHECOURT;02;32;3.30;180.00;117.00;126.00;85.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;762679.3;6950391.5;2154;Lambert-93;2024-10-23
0005108063_E16;;0005108063;02448;MACHECOURT;02;32;3.30;180.00;117.00;126.00;87.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;762344.4;6950717.5;2154;Lambert-93;2024-10-23
0005108063_E17;;0005108063;02133;BUCY-LES-PIERREPONT;02;32;3.30;180.00;117.00;126.00;96.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;764721.2;6948584.5;2154;Lambert-93;2024-10-23
0005108063_E18;;0005108063;02133;BUCY-LES-PIERREPONT;02;32;3.30;180.00;117.00;126.00;90.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;764393.8;6949022.0;2154;Lambert-93;2024-10-23
0005108063_E19;;0005108063;02133;BUCY-LES-PIERREPONT;02;32;3.30;180.00;117.00;126.00;82.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;764165.2;6949414.5;2154;Lambert-93;2024-10-23
0005108063_E20;;0005108063;02133;BUCY-LES-PIERREPONT;02;32;3.30;180.00;117.00;126.00;89.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;763673.9;6950134.0;2154;Lambert-93;2024-10-23
0005704629_E2;;0005704629;10075;CHAMPFLEURY;10;44;2.00;273.03;95.00;110.00;123.030;Jour et Nuit;Feux à éclats;VESTAS;V110-2.0MW;777411.0;6834789.0;2154;Lambert-93;2023-07-21
0005704629_E3;;0005704629;10075;CHAMPFLEURY;10;44;2.00;212.65;95.00;110.00;117.650;Jour et Nuit;Feux à éclats;VESTAS;V110-2.0MW;777880.0;6834601.0;2154;Lambert-93;2023-07-21
0005704629_E4;;0005704629;10075;CHAMPFLEURY;10;44;2.00;247.49;95.00;110.00;97.490;Jour et Nuit;Feux à éclats;VESTAS;V110-2.0MW;775341.0;6833996.0;2154;Lambert-93;2023-07-21
0005704629_E5;;0005704629;10289;PLANCY-L'ABBAYE;10;44;2.00;257.46;95.00;110.00;107.460;Jour et Nuit;Feux à éclats;VESTAS;V110-2.0MW;775779.0;6833833.0;2154;Lambert-93;2023-07-21
0005704629_E6;;0005704629;10289;PLANCY-L'ABBAYE;10;44;2.00;263.31;95.00;110.00;113.310;Jour et Nuit;Feux à éclats;VESTAS;V110-2.0MW;776212.0;6833668.0;2154;Lambert-93;2023-07-21
0005704629_E7;;0005704629;10289;PLANCY-L'ABBAYE;10;44;2.00;110.29;95.00;110.00;260.290;Jour et Nuit;Feux à éclats;VESTAS;V110-2.0MW;776570.0;6833534.0;2154;Lambert-93;2023-07-21
0005704629_E8;;0005704629;10289;PLANCY-L'ABBAYE;10;44;2.00;269.27;95.00;110.00;119.270;Jour et Nuit;Feux à éclats;VESTAS;V110-2.0MW;777384.0;6833515.0;2154;Lambert-93;2023-07-21
0005704629_E9;;0005704629;10408;VIAPRES-LE-PETIT;10;44;2.00;273.80;95.00;110.00;123.800;Jour et Nuit;Feux à éclats;VESTAS;V110-2.0MW;778175.0;6833477.0;2154;Lambert-93;2023-07-21
